"source_path"	"classification"	"repo_owner"	"repo_target_path"	"obsidian_target_folder"	"obsidian_note_title"	"ignored_artifact_target"	"retention_decision"	"privacy_risk"	"referrer_status"	"required_before_move"	"destructive_allowed_now"	"notes"
"docs/deepresearch/Backfill Production Gate.md"	"repo_keep_current"	"same-path sanitized stub"	"docs/deepresearch/Backfill Production Gate.md"	""	""	""	""	"medium"	"same_path_stub_required"	"update exact referrers to formal owner before removing stub"	"no"	"Phase 1 sanitized stub"
"docs/deepresearch/Compair.md"	"repo_stub_plus_obsidian"	"docs/product/productization.md; docs/product/discovery.md; docs/product/alignment.md"	"docs/deepresearch/Compair.md"	"XIC/30 Research Notes/Deepresearch/"	"Compair"	""	""	"medium"	"same_path_stub_required"	"update deepresearch README and source-grounded report, or keep sanitized same-path stub"	"no"	"mature-tool comparison research; stable product-floor and differentiator claims belong in product topics"
"docs/deepresearch/LC-MS targeted research.md"	"repo_stub_plus_obsidian"	"docs/lcms-msms-evidence-rules.md; docs/product/productization.md"	"docs/deepresearch/LC-MS targeted research.md"	"XIC/30 Research Notes/Deepresearch/"	"Lc Ms Targeted Research"	""	""	"medium"	"same_path_stub_required"	"update deepresearch README, or keep sanitized same-path stub"	"no"	"targeted LC-MS/ISTD research; stable evidence semantics belong in LC-MS/MS evidence rules"
"docs/deepresearch/LCMS_Backfill_Design_Notes.md"	"repo_stub_plus_obsidian"	"docs/product/backfill.md; docs/product/productization.md"	"docs/deepresearch/LCMS_Backfill_Design_Notes.md"	"XIC/30 Research Notes/Deepresearch/"	"Lcms Backfill Design Notes"	""	""	"medium"	"same_path_stub_required"	"update deepresearch README and backfill cleanup-map ref, or keep sanitized same-path stub"	"no"	"large Backfill RFC; public claims now belong in Backfill topic and productization map"
"docs/deepresearch/README.md"	"repo_keep_current"	"docs/project-layout.md; docs/product/productization.md"	"docs/deepresearch/README.md"	""	"Readme"	""	""	"low"	"same_path_stub_required"	"keep while control plane/roadmap/blueprint still cite the deepresearch index"	"no"	"repo-visible research routing index; can later shrink after all note stubs are settled"
"docs/deepresearch/Resolver.md"	"repo_stub_plus_obsidian"	"docs/product/presets.md; docs/lcms-msms-evidence-rules.md"	"docs/deepresearch/Resolver.md"	"XIC/30 Research Notes/Deepresearch/"	"Resolver"	""	""	"medium"	"same_path_stub_required"	"update backfill cleanup-map ref, or keep sanitized same-path stub"	"no"	"resolver research; durable claims belong in preset/resolver public behavior and evidence rules"
"docs/deepresearch/software backfill.md"	"repo_stub_plus_obsidian"	"docs/product/backfill.md; docs/product/productization.md"	"docs/deepresearch/software backfill.md"	"XIC/30 Research Notes/Deepresearch/"	"Software Backfill"	""	""	"medium"	"same_path_stub_required"	"update deepresearch README and backfill cleanup-map ref, or keep sanitized same-path stub"	"no"	"software backfill/reimport research; job framework details become private background after Backfill topic owns stable claims"
"docs/superpowers/fixtures/alignment_cell_integration_audit_current_asls_schema.tsv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/alignment_cell_integration_audit_current_asls_schema.tsv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/chrom_peak_segment_presence_review_manual_oracle_v1.tsv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/chrom_peak_segment_presence_review_manual_oracle_v1.tsv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
"docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/85raw_primary_delivery_fix_summary.tsv"	"repo_relocate"	"docs/validation/fixtures/"	"docs/validation/fixtures/diagnostic_ledger_2026_05_28/85raw_primary_delivery_fix_summary.tsv"	""	""	""	""	"low"	"blocked"	"scan diagnostic-ledger, scripts, tests; update referrers before move"	"no"	"hash-bound fixture candidate"
