schema_version	source_run_id	feature_family_id	peak_hypothesis_id	sample_id	matrix_value_source_row_sha256	backfill_policy_decision	backfill_policy_reason	backfill_policy_next_evidence	quality_blocker_count	quality_blockers	source_clean_status_summary	explanation_only
standard_peak_backfill_policy_quality_explanation_v1	seed-guard-realdata-85raw-generated-policy-quality-explained-20260617	FAM000028	FAM000028	NormalBC2263_DNA	3a8d9d0bfc066a1d6a235784250054edeb38af8dca3fcd41ce594cb4ed1f7aa2	blocked	no_writer_approved_evidence_class	approved_evidence_class_or_passing_oracle_required	3	apex_delta_gt_0.15;scan_count_lt_10;height_gte_2000000	high_signal_clean_status:ineligible;low_scan_clean_status:ineligible;low_height_clean_status:ineligible;low_height_low_scan_clean_status:ineligible	TRUE
standard_peak_backfill_policy_quality_explanation_v1	seed-guard-realdata-85raw-generated-policy-quality-explained-20260617	FAM000028	FAM000028	NormalBC2264_DNA	01f53090a468d2e034bdb6812d216c7142b228df77950d011263a78c49a3cbc2	blocked	no_writer_approved_evidence_class	approved_evidence_class_or_passing_oracle_required	3	height_lt_2000000;apex_delta_gt_0.15;scan_count_lt_10	high_signal_clean_status:ineligible;low_scan_clean_status:ineligible;low_height_clean_status:ineligible;low_height_low_scan_clean_status:ineligible	TRUE
standard_peak_backfill_policy_quality_explanation_v1	seed-guard-realdata-85raw-generated-policy-quality-explained-20260617	FAM000306	FAM000306	TumorBC2283_DNA	6aff963fd095a9c094c40f29a265e455ebfd96a632ecc9affff79b81d5fcfb24	blocked	no_writer_approved_evidence_class	approved_evidence_class_or_passing_oracle_required	5	width_outside_0.30_0.65;apex_delta_gt_0.15;scan_count_lt_10;scan_count_lt_7;height_gte_2000000	high_signal_clean_status:ineligible;low_scan_clean_status:ineligible;low_height_clean_status:ineligible;low_height_low_scan_clean_status:ineligible	TRUE
standard_peak_backfill_policy_quality_explanation_v1	seed-guard-realdata-85raw-generated-policy-quality-explained-20260617	FAM000306	FAM000306	TumorBC2289_DNA	eb6b361d1ea3fd7504b47df23578086000a17d674539cf7415972c8a385bed9e	blocked	no_writer_approved_evidence_class	approved_evidence_class_or_passing_oracle_required	4	width_outside_0.30_0.65;apex_delta_gt_0.15;scan_count_lt_10;height_gte_2000000	high_signal_clean_status:ineligible;low_scan_clean_status:ineligible;low_height_clean_status:ineligible;low_height_low_scan_clean_status:ineligible	TRUE
standard_peak_backfill_policy_quality_explanation_v1	seed-guard-realdata-85raw-generated-policy-quality-explained-20260617	FAM000380	FAM000380	BenignfatBC0979_DNA	c4f9d2649f9a618bf339547570ba817ac1a1d7743a99d5bc983dfa1fc518740e	blocked	missing_trace_evidence	trace_overlay_or_reintegration_evidence_required	1	missing_overlay_path	high_signal_clean_status:missing_evidence;low_scan_clean_status:missing_evidence;low_height_clean_status:missing_evidence;low_height_low_scan_clean_status:missing_evidence	TRUE
standard_peak_backfill_policy_quality_explanation_v1	seed-guard-realdata-85raw-generated-policy-quality-explained-20260617	FAM000380	FAM000380	BenignfatBC0980_DNA	1d613321c688f9bc5b332391380cc16f9a3a66d1a704f002e700de64041a9364	write_ready	production_ready_scope:low_height_reintegration_stable	none_current_scope_writer_approved	3	height_lt_2000000;apex_delta_gt_0.15;scan_count_gt_9	high_signal_clean_status:ineligible;low_scan_clean_status:ineligible;low_height_clean_status:ineligible;low_height_low_scan_clean_status:ineligible	TRUE
standard_peak_backfill_policy_quality_explanation_v1	seed-guard-realdata-85raw-generated-policy-quality-explained-20260617	FAM000380	FAM000380	BenignfatBC1020_DNA	72648aec129943baa2aaff73cc88e3a2db2fd8647f284d38123f6df83072f79b	blocked	missing_trace_evidence	trace_overlay_or_reintegration_evidence_required	1	missing_overlay_path	high_signal_clean_status:missing_evidence;low_scan_clean_status:missing_evidence;low_height_clean_status:missing_evidence;low_height_low_scan_clean_status:missing_evidence	TRUE
standard_peak_backfill_policy_quality_explanation_v1	seed-guard-realdata-85raw-generated-policy-quality-explained-20260617	FAM000380	FAM000380	BenignfatBC1025_DNA	9f4b88790c9abe437f6d894b2129790c4cadd417229dde3a91fef4a8144a8a47	blocked	missing_trace_evidence	trace_overlay_or_reintegration_evidence_required	1	missing_overlay_path	high_signal_clean_status:missing_evidence;low_scan_clean_status:missing_evidence;low_height_clean_status:missing_evidence;low_height_low_scan_clean_status:missing_evidence	TRUE
standard_peak_backfill_policy_quality_explanation_v1	seed-guard-realdata-85raw-generated-policy-quality-explained-20260617	FAM000380	FAM000380	BenignfatBC1028_DNA	d7ee2bed0077d735dd1beb92ec555b3f5884fba2f16375cbf67d3ae6b44fdaf1	blocked	no_writer_approved_evidence_class	approved_evidence_class_or_passing_oracle_required	4	shape_lt_0.95;height_lt_2000000;apex_delta_gt_0.15;scan_count_gt_9	high_signal_clean_status:ineligible;low_scan_clean_status:ineligible;low_height_clean_status:ineligible;low_height_low_scan_clean_status:ineligible	TRUE
standard_peak_backfill_policy_quality_explanation_v1	seed-guard-realdata-85raw-generated-policy-quality-explained-20260617	FAM000380	FAM000380	BenignfatBC1037_DNA	815d78cdf96508c098e80b964debe180a468430c4ffbe096ecb0f9e0480f3fed	blocked	no_writer_approved_evidence_class	approved_evidence_class_or_passing_oracle_required	3	height_lt_2000000;apex_delta_gt_0.15;scan_count_gt_9	high_signal_clean_status:ineligible;low_scan_clean_status:ineligible;low_height_clean_status:ineligible;low_height_low_scan_clean_status:ineligible	TRUE
