candidate	retired_provenance	referrer	replacement_count	current_owner
docs/deepresearch/Backfill Production Gate.md	retired-provenance:ef216de2963e	docs/superpowers/productization/evidence/2026-06-17_cc-framework-improvements_productization_handoff-prune_34cdf61d.md	1	`docs/superpowers/plans/2026-06-15-productization-control-plane.md` owns the; `docs/lc-msms-evidence-rules.md` owns durable LC-MS/MS evidence semantics.; `docs/agent/product-validation-contract.md` owns product-readiness wording and; `docs/superpowers/validation/productization_status_index_v1.tsv` and
docs/deepresearch/Backfill Production Gate.md	retired-provenance:ef216de2963e	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	5	`docs/superpowers/plans/2026-06-15-productization-control-plane.md` owns the; `docs/lc-msms-evidence-rules.md` owns durable LC-MS/MS evidence semantics.; `docs/agent/product-validation-contract.md` owns product-readiness wording and; `docs/superpowers/validation/productization_status_index_v1.tsv` and
docs/superpowers/notes/2026-05-24-resolver-default-switch-validation-note.md	retired-provenance:230f58c7688e	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	3	`docs/diagnostic-ledger.md` owns the current rerun policy and stable P2-entry; `docs/superpowers/plans/2026-06-15-productization-control-plane.md` owns active; `docs/superpowers/validation/productization_status_index_v1.tsv` and
docs/superpowers/notes/2026-05-26-p2b-area-mismatch-triage-note.md	retired-provenance:ee34c2a7c8b7	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	3	`docs/diagnostic-ledger.md` owns the current target conclusions, rerun policy,; `docs/superpowers/plans/2026-06-15-productization-control-plane.md` owns active; `docs/superpowers/validation/productization_status_index_v1.tsv` and
docs/superpowers/notes/2026-05-26-p8b-85raw-superwindow-acceptance-note.md	retired-provenance:06186d494ccc	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	3	`docs/diagnostic-ledger.md` owns the current acceptance verdict and rerun; `docs/agent-parameter-settings.md` owns canonical 85RAW command-shape and; `docs/superpowers/plans/2026-06-15-productization-control-plane.md`,
docs/superpowers/notes/2026-05-28-qualitative-selection-acceptance-gate-note.md	retired-provenance:1c044268cdd9	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	2	none
docs/superpowers/notes/2026-06-05-gaussian15-ms1-morphology-production-ready-closeout.md	retired-provenance:315e9bea6c02	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	2	none
docs/superpowers/notes/2026-06-05-gaussian15-ms1-peak-group-nl-scope-production-ready-closeout.md	retired-provenance:d2f594bc103d	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	2	none
docs/superpowers/notes/2026-06-15-replay-executor-validation-note.md	retired-provenance:a715796da6a7	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	2	none
docs/superpowers/notes/2026-06-18-backfill-autowrite-ground-truth-critical-review.md	retired-provenance:14c21c25e777	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	2	none
