path	size_bytes	line_count	sha256	category	retention_decision	authority_scope	referenced_by	keep_reason	next_action
docs/superpowers/fixtures/RETENTION.md	2200	43	B5B794E21A047937538C20727CF01D471871DD0707C850545EEC02A6B5893B6C	summary_or_policy	keep_summary	fixture_retention	docs/superpowers/fixtures/README.md	Defines allowed fixture retention decisions.	keep
docs/superpowers/fixtures/README.md	1051	30	4331A40EE9FEA3A52C68F93968692FC355DB482E2D5345E6928427BFF5064023	summary_or_policy	keep_summary	fixture_retention	docs/project-layout.md	Root landing page that separates fixtures from generated result dumps.	keep
docs/superpowers/fixtures/alignment_cell_integration_audit_current_asls_schema.tsv	345	1	E357ECCE4CB944FA66F412231A318934078F97DED8DE597A7D687D272026FC1E	schema_fixture	keep_contract	alignment_writer_schema	tests/test_alignment_tsv_writer.py	Locks the ASLS-compatible alignment writer schema fixture.	keep
docs/superpowers/fixtures/chrom_peak_segment_presence_review_manual_oracle_v1.tsv	3054	15	9AD6B8E541812A80FFAA021ACDB932A9A4C137BEB7AEDDD2AAF96D12A6DD78F2	manual_oracle	needs_human_review	chrom_peak_segment	docs/superpowers/notes/2026-06-04-chrom-peak-segment-overlay-evidence.md	Manual-looking presence oracle currently referenced by a note, not a direct checker/test consumer.	add_consumer_test
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/85raw_primary_delivery_fix_summary.tsv	1854	35	DC655DA7A7713784BE183A94B990576EFA360D344016B8E40D630D00D57365CA	diagnostic_ledger_snapshot	keep_ledger_snapshot	diagnostic_ledger_2026_05_28	docs/diagnostic-ledger.md;docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/README.md	Post-fix 85RAW validation summary retained as ledger evidence.	hash_drift_observed=4CF19B045F850B205E23888F1B3C5A6E3AF1C0BEC0C516E4447B61738CEAC24B
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/85raw_weak_seed_tolerated_watch_rows.tsv	528	6	BA635DCE2F410C539A6B3F5B0A850052CA16AF70897826CC7D673999860BB2D0	diagnostic_ledger_snapshot	keep_ledger_snapshot	diagnostic_ledger_2026_05_28	docs/diagnostic-ledger.md;docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/README.md	Post-fix weak-seed watch rows retained as ledger evidence.	hash_drift_observed=E003FDEAC97E1DAE6E0D6AF929CDD7EA3A004BC9873A0340EF8A7B2E099683E4
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/README.md	2681	40	5529899FFA42911FD59087DCFE5C63415237007D1D0F1FEA3038BEB66FE4920A	summary_or_policy	keep_summary	diagnostic_ledger_2026_05_28	docs/diagnostic-ledger.md	Explains the frozen 2026-05-28 diagnostic ledger fixture packet.	keep
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/collateral_promoted_primary_rows_primary_delivery_fix.csv	3007	14	9CFD07DBDD067748DEFEA883086894E481E947C157C15727E7BACC6DDCB71296	diagnostic_ledger_snapshot	keep_ledger_snapshot	diagnostic_ledger_2026_05_28	docs/diagnostic-ledger.md	Post-fix collateral promotion table retained as ledger evidence.	keep
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/diagnostic_tool_usage_current_8raw.tsv	3761	11	EB70B8BB39BC93A103395F39DEB606B57323DF9EC6E29B4BA4BF64618DBF9E4E	diagnostic_ledger_snapshot	keep_ledger_snapshot	diagnostic_ledger_2026_05_28	docs/diagnostic-ledger.md	Current 8RAW diagnostic tool usage snapshot retained as ledger evidence.	record_current_sha
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/phase1_review_matrix_resolved.tsv	3448	8	9A63FC81C811CF92925853884837B623878B644A26311799FAF64FA4947548E8	diagnostic_ledger_snapshot	keep_ledger_snapshot	diagnostic_ledger_2026_05_28	docs/diagnostic-ledger.md	Current 8RAW resolved matrix snapshot retained as ledger evidence.	keep
