tool	status	input_scope	output_or_source	sha256_or_reference	key_result	limitation_or_next_use
tools/diagnostics/INDEX.md	consulted	current repo	tools/diagnostics/INDEX.md	n/a	Confirmed existing diagnostics before adding ledger.	Use before adding any new diagnostic CLI.
tools/diagnostics/single_dr_production_gate_decision_report.py	run	current 8RAW alignment	output/product_priority_reset_phase1/diagnostics/single_dr_gate_current_8raw/single_dr_gate_decision_summary.tsv	931FAFCB3E873CC394D2A4AAA5FC4D31AD9EBACA1F3834E0E35C07EF0AA00D12	269 single-dR primary rows; 0 risky weak-seed or extreme-backfill primary rows.	Only evaluates primary rows, so it cannot close excluded FAM000264.
tools/diagnostics/family_ms1_backfill_review_report.py	run	current 8RAW alignment	output/product_priority_reset_phase1/diagnostics/family_ms1_backfill_review_d3_scope/family_ms1_backfill_review_summary.tsv	D72F2291F62965D1E754754CA9A5D821D9B18D005A4A19C7D87DF812E36DC711	0 queued low-seed/high-backfill primary families.	Primary-family review queue; excluded provisional rows still need identity/ownership inspection.
tools/diagnostics/owner_backfill_request_economics.py	run	current 8RAW alignment	output/product_priority_reset_phase1/diagnostics/owner_backfill_economics_current_8raw/owner_backfill_request_economics_summary.tsv	309526501A6748544EE24A5E7E83FE1AAE903229D5E8AD1FF5D63B1BB78AB893	2756 request targets; 733 production targets; 2023 non-primary targets.	Supports rerun-cost policy, not selected-row correctness by itself.
tools/diagnostics/alignment_decision_report.py	run	current 8RAW alignment	output/product_priority_reset_phase1/diagnostics/alignment_decision_report_current_8raw/alignment_decision_report.html	8B074D61031BCC9777B8E24F6A9BF06778979746EFC1CBE9AC2D255FC40F0C98	Verdict WARN with d3-N6-medA declared as known exception.	HTML is summary-only; primary-delivery blocker still comes from resolved matrix.
tools/diagnostics/targeted_istd_benchmark.py	reused_historical_oracle	85RAW targeted workbook and alignment	retired-provenance:06186d494ccc	n/a	d3-N6-medA AREA_MISMATCH is known exception, not new hard blocker.	Do not rerun from stale worktree workbook; first stabilize targeted workbook input if needed.
tools/diagnostics/targeted_gt_alignment_audit.py	run	current 8RAW alignment + default 8RAW targeted GT workbook	docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/targeted_gt_alignment_audit_default_5medc_current_8raw_comparison.csv	DB05B546B99CB9567D7873216906181FB20F57BA021BEFC3A503CC3128BE77D8	5-medC / d3-5-medC default positive checkpoint PASS 8/8; SPLIT 0; DRIFT 0; DUPLICATE 0; MISS 0.	Use 8RAW workbook xic_results_20260512_1151.xlsx for 8RAW. Do not use the 85-sample workbook against an 8RAW alignment because off-scope samples become MISS.
tools/diagnostics/analyze_rt_normalization_anchors.py	reused_historical_oracle	target RT trend artifacts	retired-provenance:ee34c2a7c8b7	n/a	d3-N6-medA target-only RT range 2.1538 min; local p95 0.0483 min; 0/85 local moderate/severe drift rows.	Do not rerun just to re-prove known RT drift.
tools/diagnostics/evidence_spine_consistency.py	reused_historical_oracle	same-surface probes	retired-provenance:230f58c7688e	n/a	Same-surface d3-N6-medA comparison was consistent; mixed-surface mismatch is diagnostic artifact.	Current blocker is primary delivery, not evidence-spine RT/area mismatch.
tools/diagnostics/family_ms1_overlay_plot.py	deferred	expensive RAW plot/manual EIC	n/a	n/a	Not needed before identity/ownership fix; no RAW plot generated.	Use only if next implementation plan names a manual EIC row that code/artifacts cannot resolve.
